Kab kota,Ibu kota,Luas wilayah (km2),Jumlah penduduk (2022),IPM
Kabupaten Ponorogo,Ponorogo,"1305,7",949318,21
Kabupaten Probolinggo,Kraksaan,"1696,21",1152537,24
Kabupaten Sampang,Sampang,"1233,08",969694,14
Kabupaten Sidoarjo,Sidoarjo,"634,38",2082801,18
Kabupaten Situbondo,Situbondo,"1669,87",685967,17
Kabupaten Sumenep,Sumenep,"1998,54",1124436,27
Kabupaten Trenggalek,Trenggalek,"1147,22",731125,14
Kabupaten Tuban,Tuban,"1834,15",1198012,20
Kabupaten Tulungagung,Tulungagung,"1055,65",1089775,19
Kota Batu,,"136,74",213046,3
Kota Blitar,,"32,57",149149,3
Kota Kediri,,"63,4",286796,3
Kota Madiun,,"33,29",195175,3
Kota Malang,,"145,28",843810,5
Kota Mojokerto,,"16,47",132434,3
Kota Pasuruan,,"35,29",208006,4
Kota Probolinggo,,"56,67",239649,5
Kota Surabaya,,"350,54",2874314,31
Kabupaten Lebak,Rangkasbitung,"3426,56",1386793,28
Kabupaten Pandeglang,Pandeglang,"2746,89",1272687,35
Kabupaten Serang,Ciruas,"1734,28",1622630,29
Kabupaten Tangerang,Tigaraksa,"1011,86",3245619,29
Kota Cilegon,,"175,5",434896,8
Kota Serang,,"266,71",692101,6
Kota Tangerang,,"153,93",1895486,13
Kota Tangerang Selatan,,"147,19",1354350,7
Kabupaten Badung,Mangupura,"398,75",517969,6
Kabupaten Bangli,Bangli,"526,76",255413,4
Kabupaten Buleleng,Singaraja,"1322,75",827642,9
Kabupaten Gianyar,Gianyar,"364,36",501870,7
Kabupaten Jembrana,Negara,"849,13",325879,5
Kabupaten Karangasem,Amlapura,"839,32",522729,8
Kabupaten Klungkung,Semarapura,"313,96",217469,4
Kabupaten Tabanan,Tabanan,"849,31",465086,10
Kota Denpasar,,"125,87",653136,4
Kabupaten Bima,Woha,"3405,63",533274,18
Kabupaten Dompu,Dompu,"2391,54",241836,8
Kabupaten Lombok Barat,Gerung,"923,06",726228,10
