Kab kota,Ibu kota,Luas wilayah (km2),Jumlah penduduk (2022),IPM
Kota Padang,,"694,38",919660,"82,9"
Kota Padang Panjang,,"23,56",60449,"77,97"
Kota Pariaman,,"64,77",96733,"77,07"
Kota Payakumbuh,,"74,55",141813,"79,08"
Kota Sawahlunto,,"231,95",67344,"72,88"
Kota Solok,,"58,72",77535,"78,41"
Kabupaten Bengkalis,Bengkalis,"8616,36",634553,"73,58"
Kabupaten Indragiri Hilir,Tembilahan,"13521,26",676983,"66,63"
Kabupaten Indragiri Hulu,Rengat,"7871,85",455669,"70,01"
Kabupaten Kampar,Bangkinang,"10352,8",832975,"73,02"
Kabupaten Kepulauan Meranti,Selatpanjang,"3623,56",210843,"65,7"
Kabupaten Kuantan Singingi,Koto Taluk,"5457,86",341708,"70,6"
Kabupaten Pelalawan,Pangkalan Kerinci,"13262,11",402303,"72,08"
Kabupaten Rokan Hilir,Bagansiapiapi,"9068,46",649692,"69,34"
Kabupaten Rokan Hulu,Pasir Pengaraian,"7658,15",561313,"69,67"
Kabupaten Siak,Siak,"7805,54",463660,"73,98"
Kota Dumai,,"2059,61",331445,"74,75"
Kota Pekanbaru,,"638,33",1085246,"81,58"
Kabupaten Batanghari,Muara Bulian,"5387,52",307390,8
Kabupaten Bungo,Muara Bungo,"4760,83",361819,17
Kabupaten Kerinci,Siulak,"3445,2",257781,16
Kabupaten Merangin,Bangko,"7540,12",373472,24
Kabupaten Muaro Jambi,Sengeti,"5225,8",422051,11
Kabupaten Sarolangun,Sarolangun,"5935,89",290491,10
Kabupaten Tanjung Jabung Barat,Kuala Tungkal,"5546,06",324160,13
Kabupaten Tanjung Jabung Timur,Muara Sabak,"4546,62",233102,11
Kabupaten Tebo,Muara Tebo,"6103,74",350234,12
Kota Jambi,,"169,89",622014,11
Kota Sungai Penuh,,"364,92",100249,8
Kabupaten Banyuasin,Pangkalan Balai,"12262,76",826755,21
Kabupaten Empat Lawang,Tebing Tinggi,"2234,1",335368,10
Kabupaten Lahat,Lahat,"4333,07",436312,24
Kabupaten Muara Enim,Muara Enim,"6763,91",622337,22
Kabupaten Musi Banyuasin,Sekayu,"14550,79",668654,14
Kabupaten Musi Rawas,Muara Beliti,"6122,59",411196,14
Kabupaten Musi Rawas Utara,Rupit,"5937,8",195220,7
Kabupaten Ogan Ilir,Indralaya,"2302,86",429156,16
Kabupaten Ogan Komering Ilir,Kayu Agung,"17071,33",755494,18
Kabupaten Ogan Komering Ulu,Baturaja,"3774,5",374080,13
Kabupaten Ogan Komering Ulu Selatan,Muaradua,"4369,25",417871,19
Kabupaten Ogan Komering Ulu Timur,Martapura,"3412,72",667141,20
Kabupaten Penukal Abab Lematang Ilir,Talang Ubi,"1842,56",202062,5
Kota Lubuk Linggau,,"367,73",234830,8
Kota Pagaralam,,"625,91",147949,5
Kota Palembang,,"352,51",1721392,18
Kota Prabumulih,,"447,31",200869,6
Kabupaten Bengkulu Selatan,Kota Manna,"1219,22",170931,11
Kabupaten Bengkulu Tengah,Karang Tinggi,"1132,38",119599,10
Kabupaten Bengkulu Utara,Kota Arga Makmur,"4481,99",296130,19
Kabupaten Kaur,Kaur Selatan,"2608,56",131867,15
Kabupaten Kepahiang,Kepahiang,"738,97",153232,8
Kabupaten Lebong,Tubei,"1666,62",110233,13
Kabupaten Mukomuko,Kota Mukomuko,"4138,68",193154,15
Kabupaten Rejang Lebong,Curup,"1559,42",282349,15
Kabupaten Seluma,Pasar Tais,"2432,16",214089,14
Kota Bengkulu,,"150,35",375526,9
Kabupaten Lampung Barat,Liwa,"2107,99",307818,15
Kabupaten Lampung Selatan,Kalianda,"2227,38",1073867,17
Kabupaten Lampung Tengah,Gunung Sugih,"4559,57",1367335,28
Kabupaten Lampung Timur,Sukadana,"3860,92",1103348,24
Kabupaten Lampung Utara,Kotabumi,"2669,3",652623,23
Kabupaten Mesuji,Wiralaga Mulya,"2200,41",232140,7
Kabupaten Pesawaran,Gedong Tataan,"1288,08",478558,11
Kabupaten Pesisir Barat,Krui,"2939,6",167339,11
Kabupaten Pringsewu,Pringsewu,"617,19",423837,9
Kabupaten Tanggamus,Kota Agung,"2947,59",618155,20
Kabupaten Tulang Bawang,Menggala,"3116,06",429130,15
